timestamp,HR
20121002T132300000,68
20121002T132400000,71
20121002T132500000,72
20121002T132600000,70
20121002T132700000,72
20121002T132800000,73
20121002T133100000,70
20121002T133200000,77
20121002T133300000,73
20121002T133400000,74
20121002T133500000,74
20121002T133600000,75
20121002T133700000,73
20121002T133800000,81
20121002T133900000,80
20121002T134000000,78
20121002T134100000,78
20121002T134200000,76
20121002T134300000,77
20121002T134400000,80
20121002T134500000,77
20121002T134600000,78
20121002T134700000,76
20121002T134800000,78
20121002T134900000,76
20121002T135000000,72
20121002T135100000,
20121002T135200000,
20121002T135300000,
20121002T135400000,
20121002T135500000,
20121002T135600000,
20121002T135700000,
20121002T135800000,
20121002T135900000,
20121002T140000000,
20121002T140100000,
20121002T140200000,
20121002T140300000,
20121002T140400000,
20121002T140500000,
20121002T140600000,
20121002T140700000,
20121002T140800000,
20121002T140900000,
20121002T141000000,
20121002T141100000,
20121002T141200000,
20121002T142700000,57
20121002T142800000,60
20121002T142900000,62
20121002T143000000,63
20121002T143100000,65
20121002T143200000,67
20121002T143500000,71
20121002T143600000,71
20121002T143700000,72
20121002T143800000,72
20121002T143900000,74
20121002T144000000,76
20121002T144100000,75
20121002T144200000,
20121002T144300000,75
20121002T144400000,79
20121002T144500000,74
20121002T144600000,73
20121002T144700000,77
20121002T144800000,73
20121002T144900000,74
20121002T145000000,76
20121002T145100000,
20121002T145200000,76
20121002T145300000,75
20121002T145400000,78
20121002T145500000,82
20121002T145600000,76
20121002T145700000,79
20121002T145800000,72
20121002T145900000,76
20121002T150000000,75
20121002T150100000,81
20121002T151300000,
20121002T151400000,
20121002T151500000,
20121002T151600000,
20121002T151700000,
20121002T151800000,62
20121002T152100000,66
20121002T152200000,66
20121002T152300000,67
20121002T152400000,71
20121002T152500000,68
20121002T152600000,67
20121002T152700000,68
20121002T152800000,
20121002T152900000,72
20121002T153000000,72
20121002T153100000,72
20121002T153200000,72
20121002T153300000,70
20121002T153400000,75
20121002T153500000,72
20121002T153600000,69
20121002T153700000,74
20121002T153800000,69
20121002T153900000,72
20121002T154000000,70
20121002T154100000,68
20121002T154200000,71
20121002T154300000,69
20121002T154400000,66
20121002T154500000,69
20121002T154600000,71
20121002T154700000,71
20121002T154800000,69
20121002T154900000,71
20121002T155000000,70
20121002T155100000,67
20121002T155200000,68
20121002T155300000,69
20121002T155400000,74
20121002T155500000,67
20121002T155600000,72
20121002T155700000,71
20121002T155800000,70
20121002T155900000,69
20121002T160000000,72
20121002T160100000,69
20121002T160200000,71
20121002T160300000,66
