timestamp,HR
20120926T092700000,
20120926T092800000,77
20120926T092900000,76
20120926T093000000,
20120926T093100000,80
20120926T093200000,79
20120926T093700000,75
20120926T093800000,77
20120926T093900000,73
20120926T094000000,74
20120926T094100000,70
20120926T094200000,77
20120926T094300000,75
20120926T094400000,
20120926T094500000,77
20120926T094600000,74
20120926T094700000,75
20120926T094800000,
20120926T094900000,75
20120926T095000000,78
20120926T095100000,77
20120926T095200000,78
20120926T095300000,77
20120926T095400000,72
20120926T095500000,79
20120926T095600000,79
20120926T095700000,79
20120926T095800000,75
20120926T095900000,76
20120926T100000000,
20120926T100100000,
20120926T100200000,
20120926T100300000,
20120926T100400000,
20120926T100500000,74
20120926T100600000,
20120926T100700000,
20120926T100800000,
20120926T100900000,74
20120926T101000000,
20120926T101100000,
20120926T101200000,
20120926T101300000,
20120926T101400000,
20120926T101500000,
20120926T101600000,72
20120926T103100000,62
20120926T103200000,62
20120926T103300000,61
20120926T103400000,67
20120926T103500000,65
20120926T103600000,62
20120926T103900000,67
20120926T104000000,68
20120926T104100000,
20120926T104200000,
20120926T104300000,
20120926T104400000,
20120926T104500000,
20120926T104600000,
20120926T104700000,
20120926T104800000,
20120926T104900000,
20120926T105000000,
20120926T105100000,
20120926T105200000,
20120926T105300000,
20120926T105400000,
20120926T105500000,
20120926T105600000,
20120926T105700000,
20120926T105800000,
20120926T105900000,
20120926T110000000,
20120926T110100000,
20120926T110200000,
20120926T110300000,
20120926T110400000,
20120926T110500000,
20120926T111800000,
20120926T111900000,
20120926T112000000,
20120926T112100000,
20120926T112200000,
20120926T112300000,
20120926T112600000,
20120926T112700000,65
20120926T112800000,68
20120926T112900000,72
20120926T113000000,
20120926T113100000,
20120926T113200000,
20120926T113300000,
20120926T113400000,
20120926T113500000,
20120926T113600000,
20120926T113700000,
20120926T113800000,80
20120926T113900000,69
20120926T114000000,71
20120926T114100000,
20120926T114200000,
20120926T114300000,67
20120926T114400000,
20120926T114500000,
20120926T114600000,67
20120926T114700000,
20120926T114800000,
20120926T114900000,
20120926T115000000,
20120926T115100000,67
20120926T115200000,68
20120926T115300000,70
20120926T115400000,66
20120926T115500000,67
20120926T115600000,63
20120926T115700000,66
20120926T115800000,67
20120926T115900000,67
20120926T120000000,70
20120926T120100000,73
20120926T120200000,
20120926T120300000,
20120926T120400000,
20120926T120500000,
