timestamp,HR
20120918T131600000,
20120918T131700000,61
20120918T131800000,64
20120918T131900000,60
20120918T132000000,61
20120918T132100000,65
20120918T132600000,69
20120918T132700000,74
20120918T132800000,65
20120918T132900000,67
20120918T133000000,70
20120918T133100000,69
20120918T133200000,68
20120918T133300000,66
20120918T133400000,66
20120918T133500000,70
20120918T133600000,65
20120918T133700000,65
20120918T133800000,66
20120918T133900000,67
20120918T134000000,69
20120918T134100000,69
20120918T134200000,67
20120918T134300000,69
20120918T134400000,67
20120918T134500000,69
20120918T134600000,71
20120918T134700000,67
20120918T134800000,67
20120918T134900000,65
20120918T135000000,67
20120918T135100000,
20120918T135200000,70
20120918T135300000,68
20120918T135400000,72
20120918T135500000,
20120918T135600000,70
20120918T135700000,67
20120918T135800000,67
20120918T135900000,65
20120918T140000000,68
20120918T140100000,72
20120918T140200000,64
20120918T140300000,67
20120918T140400000,66
20120918T140500000,64
20120918T140600000,63
20120918T140700000,64
20120918T142800000,
20120918T142900000,
20120918T143000000,
20120918T143100000,
20120918T143200000,
20120918T143300000,
20120918T143600000,65
20120918T143700000,66
20120918T143800000,63
20120918T143900000,66
20120918T144000000,67
20120918T144100000,64
20120918T144200000,66
20120918T144300000,63
20120918T144400000,65
20120918T144500000,
20120918T144600000,63
20120918T144700000,64
20120918T144800000,62
20120918T144900000,65
20120918T145000000,62
20120918T145100000,62
20120918T145200000,65
20120918T145300000,62
20120918T145400000,71
20120918T145500000,65
20120918T145600000,60
20120918T145700000,62
20120918T145800000,69
20120918T145900000,67
20120918T150000000,
20120918T150100000,
20120918T150200000,
20120918T152300000,
20120918T152400000,
20120918T152500000,
20120918T152600000,
20120918T152700000,
20120918T152800000,
20120918T153300000,
20120918T153400000,
20120918T153500000,60
20120918T153600000,58
20120918T153700000,
20120918T153800000,62
20120918T153900000,68
20120918T154000000,
20120918T154100000,
20120918T154200000,61
20120918T154300000,60
20120918T154400000,58
20120918T154500000,
20120918T154600000,62
20120918T154700000,
20120918T154800000,
20120918T154900000,
20120918T155000000,
20120918T155100000,
20120918T155200000,61
20120918T155300000,
20120918T155400000,
20120918T155500000,
20120918T155600000,
20120918T155700000,62
20120918T155800000,66
20120918T155900000,62
20120918T160000000,70
20120918T160100000,64
20120918T160200000,62
20120918T160300000,64
20120918T160400000,68
20120918T160500000,63
20120918T160600000,67
20120918T160700000,62
20120918T160800000,68
20120918T160900000,65
20120918T161000000,65
20120918T161100000,63
20120918T161200000,
20120918T161300000,63
20120918T161400000,61
