timestamp,HR
20121001T141400000,65
20121001T141500000,68
20121001T141600000,67
20121001T141700000,67
20121001T141800000,68
20121001T141900000,64
20121001T142300000,65
20121001T142400000,68
20121001T142500000,65
20121001T142600000,70
20121001T142700000,64
20121001T142800000,68
20121001T142900000,65
20121001T143000000,65
20121001T143100000,65
20121001T143200000,
20121001T143300000,71
20121001T143400000,68
20121001T143500000,69
20121001T143600000,68
20121001T143700000,73
20121001T143800000,65
20121001T143900000,67
20121001T144000000,
20121001T144100000,
20121001T144200000,
20121001T144300000,66
20121001T144400000,
20121001T144500000,
20121001T144600000,
20121001T144700000,
20121001T144800000,
20121001T144900000,
20121001T145000000,
20121001T145100000,
20121001T145200000,
20121001T145300000,
20121001T145400000,
20121001T145500000,
20121001T145600000,
20121001T145700000,61
20121001T145800000,
20121001T145900000,69
20121001T150000000,70
20121001T150100000,65
20121001T150200000,65
20121001T150300000,66
20121001T150400000,
20121001T151900000,
20121001T152000000,63
20121001T152100000,
20121001T152200000,65
20121001T152300000,
20121001T152400000,59
20121001T152600000,
20121001T152700000,61
20121001T152800000,60
20121001T152900000,63
20121001T153000000,
20121001T153100000,62
20121001T153200000,
20121001T153300000,70
20121001T153400000,67
20121001T153500000,63
20121001T153600000,63
20121001T153700000,68
20121001T153800000,57
20121001T153900000,
20121001T154000000,60
20121001T154100000,61
20121001T154200000,65
20121001T154300000,
20121001T154400000,65
20121001T154500000,
20121001T154600000,60
20121001T154700000,58
20121001T154800000,
20121001T154900000,61
20121001T155000000,
20121001T155100000,65
20121001T155200000,65
20121001T155300000,61
20121001T155400000,
20121001T155500000,
20121001T155600000,64
20121001T155700000,65
20121001T155800000,62
20121001T155900000,61
20121001T160000000,60
20121001T160100000,
20121001T160200000,63
20121001T160300000,
20121001T160400000,59
20121001T160500000,64
20121001T161900000,
20121001T162,
20121001T162100000,57
20121001T162200000,
20121001T162300000,
20121001T162400000,
20121001T162700000,61
20121001T162800000,60
20121001T162900000,62
20121001T163000000,61
20121001T163100000,62
20121001T163200000,59
20121001T163300000,60
20121001T163400000,62
20121001T163500000,
20121001T163600000,
20121001T163700000,
20121001T163800000,
20121001T163900000,60
20121001T164000000,61
20121001T164100000,59
20121001T164200000,62
20121001T164300000,62
20121001T164400000,58
20121001T164500000,65
20121001T164600000,
20121001T164700000,65
20121001T164800000,59
20121001T164900000,64
20121001T165000000,65
20121001T165100000,
20121001T165200000,
